country,obs,freedom,security,Don't know,No answer
Andorra,1004,36.5,63.1,0,0.4
Argentina,1003,33.6,65.9,0,0.5
Australia,1813,51.2,46.5,0,2.4
Bangladesh,1200,27.3,72.2,0.4,0.1
Armenia,1223,18.4,79.9,1,0.7
Bolivia,2067,15.7,82.9,1.1,0.3
Brazil,1762,24.4,71.9,3,0.7
Myanmar,1200,11.4,88.6,0,0
Canada,4018,49.1,50.9,0,0
Chile,1000,30.9,65.6,3.3,0.3
China,3036,7.1,92.7,0,0.2
Taiwan ROC,1223,13.7,85.8,0.5,0
Colombia,1520,32.6,67.4,0,0
Cyprus,1000,31,66.5,1.7,0.8
Czechia,1200,35.3,63.4,1.2,0.1
Ecuador,1200,23.4,76,0.6,0
Ethiopia,1230,32.7,67.2,0.2,0
Germany,1528,43.2,53.4,2.4,1
Greece,1200,44.9,54.8,0.3,0
Guatemala,1229,24.8,73.8,0,1.4
Hong Kong SAR,2075,23.4,76.1,0.4,0.1
India,1692,22.7,74,3.3,0
Indonesia,3200,4.5,95.2,0.1,0.1
Iran,1499,14.9,84.5,0.2,0.4
Iraq,1200,9.8,89.2,0.9,0.2
Japan,1353,13.6,82.1,4.1,0.2
Kazakhstan,1276,26.5,68.5,3.8,1.2
Jordan,1203,9.6,89.7,0.7,0
Kenya,1266,29.5,69.1,0.9,0.4
South Korea,1245,42.9,57.1,0,0
Kyrgyzstan,1200,36.4,62.3,0.5,0.7
Lebanon,1200,25.8,72.3,1.8,0
Libya,1196,8.9,90.3,0.4,0.2
Macau SAR,1023,18.8,80.7,0,0
Malaysia,1313,28.1,71.9,0,0
Maldives,1039,22,77.5,0.2,0.2
Mexico,1741,27.4,72.4,0.3,0
Mongolia,1638,28.3,71.7,0,0
Morocco,1200,24.8,74.1,1.2,0
Netherlands,2145,40.7,48.2,6.1,0.9
New Zealand,1057,47.3,42,7.9,0
Nicaragua,1200,34.7,65.3,0,0
Nigeria,1237,28,71.3,0.6,0.2
Pakistan,1995,44.4,53.9,1.7,0.1
Peru,1400,15.7,82.8,1.2,0.3
Philippines,1200,31.6,68.3,0.1,0
Puerto Rico,1127,23.8,75.3,0,0.9
Romania,1257,33.8,64.5,1.5,0.2
Russia,1810,23.5,72,3.9,0.6
Serbia,1046,54.5,43.4,0.4,1.7
Singapore,2012,21.2,77.6,0,1.2
Slovakia,1200,30.1,69.2,0.5,0.2
Vietnam,1200,32.4,67.6,0,0
Zimbabwe,1215,28.3,71.4,0.2,0.2
Tajikistan,1200,34.3,65.7,0,0
Thailand,1500,31,68.1,0,0
Tunisia,1208,17.8,80,0,0.1
Turkey,2415,39.1,59,1.2,0.6
Ukraine,1289,29.5,65.9,4.3,0.3
Egypt,1200,12.6,86.3,0.9,0.2
Great Britain,2609,53.8,44,1.8,0.2
United States,2596,69.5,28.3,0,2.2
Uruguay,1000,48.7,47.8,2.3,1.3
Venezuela,1190,50.2,49.8,0,0
Northern Ireland,447,48.7,47.6,2.8,0.6
TOTAL,95970,30,68.3,1.1,0.4
